t,theta_big,theta_small,dtheta_big,dtheta_small,tau_big,tau_small,axis,held_target,mcu2_seq,gravity_ax,gravity_ay,theta_big_motor,dtheta_big_motor,theta_big_platform,dtheta_big_platform,theta_big_motor_meas,platform_azimuth,platform_rate,small_joint_angle_est,small_joint_rate_est,pitch_joint_angle,pitch_joint_rate,pitch_acc,chassis_azimuth,chassis_yaw_rate,big_enc_age,big_sample_interval,big_enc_innovation,chassis_imu_age,gravity_a_x,gravity_a_y,gravity_a_z,base_omega_x,base_omega_y,base_omega_z,los_azimuth,los_elevation,mcu_bullet_velocity,mcu_pitch_angle,mcu_yaw_big_angle,mcu_yaw_big_omega,mcu_yaw_small_angle,mcu_yaw_small_omega,mcu_chassis_imu_yaw,mcu_chassis_imu_omega,mcu_mark,mcu_color,mcu_auto_aim_switch,mcu_temp_big,mcu_temp_small,imu_gx,imu_gy,imu_gz,imu_ax,imu_ay,imu_az,imu_euler_yaw,imu_euler_pitch,imu_euler_roll,imu_dt_one_tenth_ms,tx_auto_aim_enable,tx_fire,tx_pitch_target_angle,tx_yaw_big_mode,tx_yaw_big_target_angle,tx_yaw_big_target_velocity,tx_yaw_big_torque,tx_yaw_small_mode,tx_yaw_small_target_angle,tx_yaw_small_target_velocity,tx_yaw_small_torque,target_big,target_small,est_valid,mcu_valid,imu_valid,backlash_center,backlash_beta_true,theta_true_motor,theta_true_platform,theta_true_small,dtheta_true_motor,dtheta_true_platform,dtheta_true_small
0.0002,9.316775,0.050621,-0.014439,0.000000,0.030327,-0.006547,0,0.051183,14,0.253502,0.035978,9.316775,-0.000419,4.450196,-0.014439,9.316775,4.555202,-0.014439,0.050621,0.000000,0.013045,-0.381850,-26.930858,0.105007,0.000000,0.000000,0.002030,0.000019,0.000000,0.253502,0.035978,-9.806658,0.003614,0.010885,-0.000007,-0.106826,0.010685,27.000000,0.013045,9.316775,-0.000419,0.050621,0.000000,0.105000,0.000000,128,0,1,34,34,-0.005288,-0.010365,-0.014311,-0.050558,0.101132,9.560723,-1.677623,0.010685,0.025998,6,1,0,0.000000,0,4.566266,0.000000,0.030327,0,0.051183,0.000000,-0.006547,4.566266,0.051183,1,1,1,4.858460,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.0101,9.316871,0.049854,-0.005342,0.000000,0.011664,0.010326,0,0.051183,24,0.253212,0.035599,9.316871,0.001466,4.450167,-0.005342,9.316871,4.555940,-0.005342,0.049854,0.000000,0.013045,-0.381850,-26.930858,0.105773,0.000000,0.000000,0.002147,0.000083,0.000000,0.253212,0.035599,-9.806667,0.003088,-0.012785,0.000010,-0.106855,0.010703,27.000000,0.013045,9.316871,0.001466,0.049854,0.000000,0.105000,0.000000,133,0,1,34,34,-0.001041,0.013040,-0.005503,0.005993,0.443744,9.698189,-1.677652,0.010703,0.025965,6,1,0,0.000000,0,4.566133,0.000000,0.011664,0,0.051183,0.000000,0.010326,4.566133,0.051183,1,1,1,4.858512,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.0201,9.316966,0.050621,-0.010383,0.000000,0.019673,-0.006547,0,0.051183,34,0.252726,0.036001,9.316966,0.001466,4.450833,-0.010383,9.316966,4.555073,-0.010383,0.050621,0.000000,0.013045,-0.381850,-26.930858,0.104240,0.000000,0.000000,0.002033,0.000029,0.000000,0.252726,0.036001,-9.806678,0.006454,0.020118,-0.000012,-0.106955,0.010679,27.000000,0.013045,9.316966,0.001466,0.050621,0.000000,0.105000,0.000000,138,0,1,34,34,-0.009547,-0.018982,-0.010148,0.400324,0.010015,9.990770,-1.677751,0.010679,0.025919,7,1,0,0.000000,0,4.565206,0.000000,0.019673,0,0.051183,0.000000,-0.006547,4.565206,0.051183,1,1,1,4.858536,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.0301,9.316679,0.049854,-0.009495,0.000000,-0.012855,0.010326,0,0.051183,44,0.254272,0.035443,9.316679,-0.004503,4.450117,-0.009495,9.316679,4.555889,-0.009495,0.049854,0.000000,0.013045,-0.381850,-26.930858,0.105772,0.000000,0.000000,0.002011,0.000008,0.000000,0.254272,0.035443,-9.806640,-0.004643,-0.018481,0.000011,-0.106908,0.010724,27.000000,0.013045,9.316679,-0.004503,0.049854,0.000000,0.105000,0.000000,143,0,1,34,34,0.007492,0.017395,-0.009712,-0.404328,0.129157,9.599056,-1.677704,0.010724,0.026072,7,1,0,0.000000,0,4.563262,0.000000,-0.012855,0,0.051183,0.000000,0.010326,4.563262,0.051183,1,1,1,4.858709,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.0401,9.316789,0.050621,0.015878,0.000000,-0.002994,-0.006547,0,0.051183,52,0.254142,0.029132,9.316789,0.000419,4.450119,0.015878,9.316775,4.555119,0.015878,0.050621,0.000000,0.012388,-0.381850,-26.930858,0.105000,0.000000,0.001721,0.001996,-0.000185,0.001721,0.254142,0.029132,-9.806664,0.006539,-0.007334,0.000000,-0.106911,0.010729,27.000000,0.013045,9.316775,0.000419,0.050621,0.000000,0.105000,0.000000,147,0,1,34,34,-0.005299,0.008471,0.015774,0.016349,0.477873,10.033503,-1.677707,0.010729,0.026028,7,1,0,0.000000,0,4.561014,0.000000,-0.002994,0,0.051183,0.000000,-0.006547,4.561014,0.051183,1,1,1,4.858733,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.0501,9.315912,0.049854,0.000329,0.000000,-0.018934,0.010326,0,0.051183,64,0.254146,0.035445,9.315912,-0.012776,4.450921,0.000329,9.315912,4.555926,0.000329,0.049854,0.000000,0.013045,-0.381850,-26.930858,0.105005,0.000000,0.000000,0.002173,-0.000287,0.000000,0.254146,0.035445,-9.806643,0.008847,0.018631,-0.000011,-0.106871,0.010723,27.000000,0.013045,9.315912,-0.012776,0.049854,0.000000,0.105000,0.000000,153,0,1,34,34,-0.011680,-0.016992,0.000540,-0.298707,0.061337,9.675007,-1.677668,0.010723,0.026059,6,1,0,0.000000,0,4.559260,0.000000,-0.018934,0,0.051183,0.000000,0.010326,4.559260,0.051183,1,1,1,4.858759,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.0601,9.314474,0.049854,0.003090,0.000000,-0.000393,0.002657,0,0.051183,74,0.252676,0.035559,9.314474,-0.015813,4.450073,0.003090,9.314474,4.555846,0.003090,0.049854,0.000000,0.013045,-0.381850,-26.930858,0.105773,0.000000,0.000000,0.002149,-0.000475,0.000000,0.252676,0.035559,-9.806681,-0.001819,-0.009031,0.000006,-0.106950,0.010704,27.000000,0.013045,9.314474,-0.015813,0.049854,0.000000,0.105000,0.000000,158,0,1,34,34,0.003236,0.008665,0.002983,0.342434,0.304166,10.175527,-1.677746,0.010704,0.025910,7,1,0,0.000000,0,4.558592,0.000000,-0.000393,0,0.051183,0.000000,0.002657,4.558592,0.051183,1,1,1,4.858779,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.0701,9.312940,0.050621,0.015628,0.000000,0.012823,-0.006547,0,0.051183,84,0.253166,0.035421,9.312940,-0.018850,4.450178,0.015628,9.312940,4.555183,0.015628,0.050621,0.000000,0.013045,-0.381850,-26.930858,0.105005,0.000000,0.000000,0.001997,-0.000615,0.000000,0.253166,0.035421,-9.806669,-0.003595,0.001836,-0.000001,-0.106846,0.010740,27.000000,0.013045,9.312940,-0.018850,0.050621,0.000000,0.105000,0.000000,163,0,1,34,34,0.003251,-0.002190,0.015657,-0.194133,0.092318,9.493548,-1.677643,0.010740,0.025961,6,1,0,0.000000,0,4.558540,0.000000,0.012823,0,0.051183,0.000000,-0.006547,4.558540,0.051183,1,1,1,4.858795,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.0801,9.311118,0.050621,-0.011571,0.000000,0.007432,0.001123,0,0.051183,94,0.254194,0.035616,9.311118,-0.016860,4.450125,-0.011571,9.311118,4.555122,-0.011571,0.050621,0.000000,0.013043,-0.381850,-26.930858,0.104997,0.000000,0.000005,0.002015,-0.000172,0.000005,0.254194,0.035616,-9.806641,0.004255,-0.019252,0.000000,-0.106908,0.010724,27.000000,0.013045,9.311118,-0.016860,0.050621,0.000000,0.105000,0.000000,168,0,1,34,34,-0.001050,0.019536,-0.011827,-0.280245,0.365562,9.821632,-1.677704,0.010724,0.026067,7,1,0,0.000000,0,4.558539,0.000000,0.007432,0,0.051183,0.000000,0.001123,4.558539,0.051183,1,1,1,4.858805,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.0901,9.311543,0.049854,-0.016721,0.000000,0.000775,0.010326,0,0.051183,102,0.254269,0.027675,9.311543,0.004503,4.450652,-0.016721,9.311597,4.555627,-0.016721,0.049854,0.000000,0.012236,-0.381850,-26.930858,0.104975,0.000000,0.002119,0.002026,0.000443,0.002119,0.254269,0.027675,-9.806665,0.000420,0.016829,0.000000,-0.107169,0.010706,27.000000,0.013045,9.311597,0.004503,0.049854,0.000000,0.105000,0.000000,172,0,1,34,34,-0.003147,-0.016741,-0.016517,0.199572,0.028559,10.029107,-1.677966,0.010706,0.026032,6,1,0,0.000000,0,4.558539,0.000000,0.000775,0,0.051183,0.000000,0.010326,4.558539,0.051183,1,1,1,4.858811,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.1001,9.315427,0.049854,-0.009394,0.000000,0.007397,0.002657,0,0.051183,112,0.254101,0.027278,9.315427,0.038327,4.450518,-0.009394,9.315432,4.555496,-0.009394,0.049854,0.000000,0.012275,-0.381850,-26.930858,0.104978,0.000000,0.002017,0.001988,0.000981,0.002017,0.254101,0.027278,-9.806671,-0.006045,-0.023042,0.000000,-0.107302,0.010784,27.000000,0.013045,9.315432,0.038327,0.049854,0.000000,0.105000,0.000000,177,0,1,34,34,0.009622,0.021675,-0.009660,0.198534,0.268551,9.954955,-1.678099,0.010784,0.026013,7,1,0,0.000000,0,4.558539,0.000000,0.007397,0,0.051183,0.000000,0.002657,4.558539,0.051183,1,1,1,4.858826,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.1101,9.316211,0.049854,0.003183,0.000000,0.005703,0.002657,0,0.051183,122,0.255660,0.027877,9.316211,0.003560,4.450541,0.003183,9.316199,4.555528,0.003183,0.049854,0.000000,0.012319,-0.381850,-26.930858,0.104987,0.000000,0.001901,0.002000,-0.000303,0.001901,0.255660,0.027877,-9.806628,0.009379,-0.011535,0.000000,-0.107272,0.010775,27.000000,0.013045,9.316199,0.003560,0.049854,0.000000,0.105000,0.000000,182,0,1,34,34,-0.007442,0.012908,0.003024,-0.395083,0.243552,9.628923,-1.678068,0.010775,0.026175,7,1,0,0.000000,0,4.558539,0.000000,0.005703,0,0.051183,0.000000,0.002657,4.558539,0.051183,1,1,1,4.858849,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.1201,9.315816,0.049854,0.000133,0.000000,0.005669,0.002657,0,0.051183,134,0.254703,0.035090,9.315816,0.002513,4.450553,0.000133,9.315816,4.555557,0.000133,0.049854,0.000000,0.013045,-0.381850,-26.930858,0.105004,0.000000,0.000000,0.002015,-0.000006,0.000000,0.254703,0.035090,-9.806630,-0.000942,0.025694,-0.000019,-0.107242,0.010762,27.000000,0.013045,9.315816,0.002513,0.049854,0.000000,0.105000,0.000000,188,0,1,34,34,-0.003133,-0.025516,0.000447,0.102997,0.117511,9.790678,-1.678038,0.010762,0.026114,7,1,0,0.000000,0,4.558539,0.000000,0.005669,0,0.051183,0.000000,0.002657,4.558539,0.051183,1,1,1,4.858871,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.1301,9.315816,0.049854,0.009542,0.000000,0.006269,0.002657,0,0.051183,144,0.254096,0.034746,9.315816,-0.000419,4.450529,0.009542,9.315816,4.555532,0.009542,0.049854,0.000000,0.013045,-0.381850,-26.930858,0.105003,0.000000,0.000000,0.002011,0.000002,0.000000,0.254096,0.034746,-9.806647,-0.005733,-0.011659,0.000008,-0.107267,0.010794,27.000000,0.013045,9.315816,-0.000419,0.049854,0.000000,0.105000,0.000000,193,0,1,34,34,0.007504,0.010729,0.009411,0.150383,0.496009,10.119906,-1.678064,0.010794,0.026050,7,1,0,0.000000,0,4.558539,0.000000,0.006269,0,0.051183,0.000000,0.002657,4.558539,0.051183,1,1,1,4.858892,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.1401,9.315829,0.050621,0.002664,0.000000,0.016128,-0.006547,0,0.051183,152,0.254210,0.028151,9.315829,-0.000419,4.449834,0.002664,9.315816,4.554822,0.002664,0.050621,0.000000,0.012308,-0.381850,-26.930858,0.104988,0.000000,0.001930,0.002001,-0.000036,0.001930,0.254210,0.028151,-9.806665,0.014402,0.010946,0.000000,-0.107208,0.010749,27.000000,0.013045,9.315816,-0.000419,0.050621,0.000000,0.105000,0.000000,197,0,1,34,34,-0.015958,-0.008485,0.002769,-0.021430,0.033272,9.636624,-1.678004,0.010749,0.026030,7,1,0,0.000000,0,4.558672,0.000000,0.016128,0,0.051183,0.000000,-0.006547,4.558672,0.051183,1,1,1,4.858914,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.1501,9.315805,0.049854,-0.007218,0.000000,0.009385,0.010326,0,0.051183,162,0.254584,0.028538,9.315805,0.000419,4.450632,-0.007218,9.315816,4.555615,-0.007218,0.049854,0.000000,0.012337,-0.381850,-26.930858,0.104983,0.000000,0.001855,0.001998,-0.000009,0.001855,0.254584,0.028538,-9.806655,0.004811,-0.023377,0.000000,-0.107182,0.010720,27.000000,0.013045,9.315816,0.000419,0.049854,0.000000,0.105000,0.000000,1,0,1,34,34,-0.001053,0.023753,-0.007511,-0.079797,0.404861,9.745595,-1.677978,0.010720,0.026069,6,1,0,0.000000,0,4.559606,0.000000,0.009385,0,0.051183,0.000000,0.010326,4.559606,0.051183,1,1,1,4.858935,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.1601,9.315990,0.050621,0.004071,0.000000,0.048725,-0.006547,0,0.051183,172,0.254121,0.029401,9.315990,0.004503,4.449759,0.004071,9.316008,4.554753,0.004071,0.050621,0.000000,0.012423,-0.381850,-26.930858,0.104995,0.001000,0.001629,0.001982,0.000222,0.001629,0.254121,0.029401,-9.806664,-0.004965,-0.002995,0.001000,-0.107277,0.010736,27.000000,0.013045,9.316008,0.004503,0.050621,0.000000,0.105000,0.001000,6,0,1,34,34,0.005378,0.002232,0.005044,0.256512,0.265871,10.175086,-1.678073,0.010736,0.026027,7,1,0,0.000000,0,4.562139,0.000000,0.048725,0,0.051183,0.000000,-0.006547,4.562139,0.051183,1,1,1,4.858957,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.1701,9.316008,0.049854,-0.016050,0.000000,0.063979,0.010326,0,0.051183,184,0.254804,0.034765,9.316008,0.002513,4.450581,-0.016050,9.316008,4.555584,-0.016050,0.049854,0.000000,0.013045,-0.381850,-26.930858,0.105003,0.000000,0.000000,0.002149,0.000024,0.000000,0.254804,0.034765,-9.806629,-0.001407,-0.011636,0.000007,-0.107216,0.010796,27.000000,0.013045,9.316008,0.002513,0.049854,0.000000,0.105000,0.000000,12,0,1,34,34,0.003227,0.011057,-0.016189,-0.366445,0.272018,9.648369,-1.678012,0.010796,0.026123,7,1,0,0.000000,0,4.567070,0.000000,0.063979,0,0.051183,0.000000,0.010326,4.567070,0.051183,1,1,1,4.858981,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.1801,9.317733,0.050621,-0.011786,0.000000,0.128429,-0.006547,0,0.051183,194,0.254385,0.035270,9.317733,0.020944,4.449667,-0.011786,9.317733,4.554671,-0.011786,0.050621,0.000000,0.013045,-0.381850,-26.930858,0.105004,0.000000,0.000000,0.002155,0.001548,0.000000,0.254385,0.035270,-9.806638,-0.001437,-0.011524,0.000007,-0.107360,0.010762,27.000000,0.013045,9.317733,0.020944,0.050621,0.000000,0.105000,0.000000,17,0,1,34,34,0.003229,0.011001,-0.011923,0.140179,0.470617,9.851673,-1.678157,0.010762,0.026084,6,1,0,0.000000,0,4.574945,0.000000,0.128429,0,0.051183,0.000000,-0.006547,4.574945,0.051183,1,1,1,4.859597,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.1901,9.321760,0.049854,-0.012201,0.000000,0.162580,0.010326,0,0.051183,204,0.255286,0.034608,9.321760,0.042412,4.450374,-0.012201,9.321760,4.555377,-0.012201,0.049854,0.000000,0.013045,-0.381850,-26.930858,0.105003,0.000000,0.000000,0.002018,0.000609,0.000000,0.255286,0.034608,-9.806617,0.000105,0.006035,-0.000003,-0.107424,0.010814,27.000000,0.013045,9.321760,0.042412,0.049854,0.000000,0.105000,0.000000,22,0,1,34,34,-0.001023,-0.006107,-0.012125,-0.384066,0.011125,9.865855,-1.678220,0.010814,0.026171,7,1,0,0.000000,0,4.585820,0.000000,0.162580,0,0.051183,0.000000,0.010326,4.585820,0.051183,1,1,1,4.861366,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.2001,9.328759,0.049087,0.170766,-0.209440,0.222880,0.011860,0,0.051183,212,0.256698,0.034564,9.328759,0.073094,4.451064,0.170766,9.328759,4.555752,0.170766,0.049087,-0.209440,0.013045,-0.381850,-26.930858,0.104688,0.000000,0.000000,0.002172,0.000644,0.000000,0.256698,0.034564,-9.806580,-0.007046,-0.047618,-0.209413,-0.107817,0.010805,27.000000,0.013045,9.327800,0.073094,0.049087,-0.209440,0.105000,0.000000,26,0,1,34,34,0.013857,0.045591,-0.039246,-0.174172,0.484033,10.301414,-1.678613,0.010805,0.026313,6,1,0,0.000000,0,4.599695,0.000000,0.222880,0,0.051183,0.000000,0.011860,4.599695,0.051183,1,1,1,4.864506,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.2101,9.334320,0.046787,0.110529,-0.209440,0.270698,0.031802,0,0.051183,224,0.263493,0.034043,9.334320,0.047543,4.451955,0.110529,9.334320,4.557393,0.110529,0.046787,-0.209440,0.013045,-0.381850,-26.930858,0.105438,0.003000,0.000000,0.002129,0.000332,0.000000,0.263493,0.034043,-9.806402,0.016004,-0.060893,-0.206402,-0.108485,0.010830,27.000000,0.013045,9.334320,0.047543,0.046787,-0.209440,0.105000,0.003000,32,0,1,34,34,-0.007522,0.061254,-0.096680,-1.504999,0.717165,9.948784,-1.679282,0.010830,0.026997,7,1,0,0.000000,0,4.616570,0.000000,0.270698,0,0.051183,0.000000,0.031802,4.616570,0.051183,1,1,1,4.866866,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.2201,9.335489,0.044010,0.266172,-0.314159,0.333512,0.042109,0,0.051183,232,0.267560,0.028781,9.335489,0.015813,4.454147,0.266172,9.335087,4.559338,0.266172,0.044010,-0.314159,0.012467,-0.381850,-26.930858,0.105192,0.004000,0.001514,0.002004,-0.000079,0.001514,0.267560,0.028781,-9.806308,0.007831,-0.002377,-0.310159,-0.109318,0.010731,27.000000,0.013045,9.335087,0.015813,0.044486,-0.314159,0.105000,0.004000,36,0,1,34,34,-0.007445,0.002848,-0.044026,-0.356225,-0.220486,9.260610,-1.680115,0.010731,0.027382,7,1,0,0.000000,0,4.636445,0.000000,0.333512,0,0.051183,0.000000,0.042109,4.636445,0.051183,1,1,1,4.866957,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.2301,9.339209,0.041418,0.362951,-0.418879,0.393499,0.045455,0,0.051183,242,0.268463,0.033368,9.339209,0.038327,4.457853,0.362951,9.339209,4.562179,0.362951,0.041418,-0.418879,0.013045,-0.381850,-26.930858,0.104327,0.005000,0.000000,0.002181,-0.000288,0.000000,0.268463,0.033368,-9.806269,0.016408,0.014204,-0.309169,-0.109073,0.010775,27.000000,0.013045,9.338730,0.038327,0.041418,-0.314159,0.105000,0.005000,41,0,1,34,34,-0.018075,-0.011309,0.053934,-0.699668,0.152499,10.020197,-1.679869,0.010775,0.027489,6,1,0,0.000000,0,4.659227,0.000000,0.393499,0,0.051183,0.000000,0.045455,4.659227,0.051183,1,1,1,4.867165,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.2401,9.343631,0.038342,0.483463,-0.314159,0.443271,0.056437,0,0.051183,254,0.270179,0.033310,9.343631,0.050580,4.461360,0.483463,9.343619,4.566486,0.483463,0.038342,-0.314159,0.013036,-0.381850,-26.930858,0.105126,0.003000,0.000024,0.002128,-0.000319,0.000024,0.270179,0.033310,-9.806222,-0.005524,-0.035026,-0.311159,-0.107842,0.010694,27.000000,0.013045,9.343619,0.050580,0.038350,-0.314159,0.105000,0.003000,47,0,1,34,34,0.005415,0.008767,0.156586,-0.815037,0.032845,9.636104,-1.678759,0.010682,0.027628,6,1,0,0.000000,0,4.684298,0.000000,0.443271,0,0.051183,0.000000,0.056437,4.684298,0.051183,1,1,1,4.867339,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.2501,9.347934,0.036049,0.451650,-0.209440,0.503645,0.053202,0,0.051183,8,0.271194,0.031393,9.347934,0.043459,4.466268,0.451650,9.347934,4.570711,0.451650,0.036049,-0.209440,0.013045,-0.381850,-26.930858,0.104443,-0.002000,0.000000,0.002008,0.000043,0.000000,0.271194,0.031393,-9.806200,-0.003195,-0.019975,-0.211428,-0.105916,0.010838,27.000000,0.013045,9.347934,0.043459,0.036049,-0.209440,0.104000,-0.002000,52,0,1,34,34,0.005425,0.022620,0.239947,-0.578173,0.692277,9.681166,-1.676712,0.010838,0.027747,7,1,0,0.000000,0,4.710859,0.000000,0.503645,0,0.051183,0.000000,0.053202,4.710859,0.051183,1,1,1,4.867466,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.2601,9.352641,0.034978,0.617099,-0.209440,0.553412,0.043121,0,0.051183,16,0.271396,0.024624,9.352641,0.053617,4.470819,0.617099,9.351769,4.575202,0.617099,0.034978,-0.209440,0.012491,-0.381850,-26.930858,0.104382,-0.004000,0.001452,0.002002,0.000076,0.001452,0.271396,0.024624,-9.806214,0.029041,0.017835,-0.213440,-0.102500,0.010945,27.000000,0.013045,9.351769,0.053617,0.035282,-0.209440,0.104000,-0.004000,56,0,1,34,34,-0.030781,-0.009585,0.403811,-0.661813,0.220160,9.963480,-1.673296,0.010945,0.027741,7,1,0,0.000000,0,4.738109,0.000000,0.553412,0,0.051183,0.000000,0.043121,4.738109,0.051183,1,1,1,4.867511,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.2701,9.358097,0.033748,0.681541,-0.209440,0.583121,0.047169,0,0.051183,28,0.273092,0.031880,9.358097,0.056758,4.475461,0.681541,9.358097,4.580899,0.681541,0.033748,-0.209440,0.013045,-0.381850,-26.930858,0.105439,-0.001000,0.000000,0.002079,-0.000651,0.000000,0.273092,0.031880,-9.806146,0.038816,-0.035228,-0.210416,-0.098029,0.010731,27.000000,0.013045,9.358097,0.056758,0.033748,-0.209440,0.105000,-0.001000,62,0,1,34,34,-0.035089,0.045084,0.470577,-0.929681,0.277152,9.983019,-1.668825,0.010731,0.027937,6,1,0,0.000000,0,4.765249,0.000000,0.583121,0,0.051183,0.000000,0.047169,4.765249,0.051183,1,1,1,4.867690,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.2801,9.363849,0.033748,0.559271,-0.104720,0.620899,0.034870,0,0.051183,38,0.274402,0.031778,9.363849,0.061785,4.481112,0.559271,9.363849,4.586112,0.559271,0.033748,-0.104720,0.013045,-0.381850,-26.930858,0.105000,0.000000,0.000000,0.002137,0.000261,0.000000,0.274402,0.031778,-9.806110,-0.018343,0.021453,-0.000015,-0.092818,0.010746,27.000000,0.013045,9.363849,0.061785,0.033748,-0.104720,0.105000,0.000000,67,0,1,34,34,0.016232,-0.015794,0.559509,-0.901216,0.099261,9.674996,-1.663614,0.010746,0.028070,7,1,0,0.000000,0,4.791478,0.000000,0.620899,0,0.051183,0.000000,0.034870,4.791478,0.051183,1,1,1,4.867740,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.2901,9.370847,0.032981,0.745120,-0.104720,0.622693,0.044074,0,0.051183,48,0.273197,0.027407,9.370847,0.077178,4.488176,0.745120,9.370847,4.592968,0.745120,0.032981,-0.104720,0.013045,-0.381850,-26.930858,0.104792,0.000000,0.000000,0.002153,0.000324,0.000000,0.273197,0.027407,-9.806157,-0.007380,0.020420,-0.104735,-0.086740,0.011166,27.000000,0.013045,9.370847,0.077178,0.032981,-0.104720,0.105000,0.000000,72,0,1,34,34,0.005580,-0.012628,0.640604,-0.957884,0.001961,9.807967,-1.657536,0.011166,0.027931,7,1,0,0.000000,0,4.815997,0.000000,0.622693,0,0.051183,0.000000,0.044074,4.815997,0.051183,1,1,1,4.867789,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.3001,9.377783,0.032981,0.700982,0.000000,0.627475,0.036404,0,0.051183,56,0.271926,0.017248,9.377783,0.076131,4.494407,0.700982,9.376409,4.599866,0.700982,0.032981,0.000000,0.012305,-0.381850,-26.930858,0.105459,0.001000,0.001938,0.001988,0.000160,0.001938,0.271926,0.017248,-9.806215,-0.001829,0.032752,0.001000,-0.079848,0.011457,27.000000,0.013045,9.376409,0.076131,0.032981,0.000000,0.105000,0.001000,76,0,1,34,34,-0.000794,-0.024153,0.702332,-0.212181,0.369976,10.242821,-1.650644,0.011457,0.027768,7,1,0,0.000000,0,4.838014,0.000000,0.627475,0,0.051183,0.000000,0.036404,4.838014,0.051183,1,1,1,4.867877,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.3101,9.387052,0.032214,0.786133,0.000000,0.603759,0.045608,0,0.051183,68,0.272014,0.021444,9.387052,0.088383,4.502544,0.786133,9.387052,4.608291,0.786133,0.032214,0.000000,0.013045,-0.381850,-26.930858,0.105747,0.000000,0.000000,0.002148,0.000533,0.000000,0.272014,0.021444,-9.806205,-0.013738,-0.006106,0.000004,-0.072198,0.011748,27.000000,0.013045,9.387052,0.088383,0.032214,0.000000,0.105000,0.000000,82,0,1,34,34,0.014131,0.015386,0.786004,-0.748913,0.205939,9.561322,-1.642995,0.011748,0.027790,7,1,0,0.000000,0,4.857061,0.000000,0.603759,0,0.051183,0.000000,0.045608,4.857061,0.051183,1,1,1,4.868462,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.3201,9.394769,0.032214,0.867716,0.000000,0.595865,0.037938,0,0.051183,76,0.273236,0.012940,9.394769,0.089431,4.510664,0.867716,9.393379,4.616144,0.867716,0.032214,0.000000,0.012432,-0.381850,-26.930858,0.105480,0.000000,0.001604,0.002162,-0.000216,0.001604,0.273236,0.012940,-9.806186,0.008877,-0.026467,0.000000,-0.064353,0.012006,27.000000,0.013045,9.393379,0.089431,0.032214,0.000000,0.105000,0.000000,86,0,1,34,34,-0.007214,0.037753,0.867314,-0.500980,0.557390,9.765994,-1.635150,0.012006,0.027887,6,1,0,0.000000,0,4.873108,0.000000,0.595865,0,0.051183,0.000000,0.037938,4.873108,0.051183,1,1,1,4.868512,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
